client_id|ssn|first_name|last_name|gender|street|city|state|zip|latitude|longitude|city_pop|job|dob|email|phonenum|profile
7b89296c-6dcb-4c50-8857-7eb1924770d3|143-78-5818|Jason|Serrano|M|2452 Tate Garden Suite 960|Blissfield|OH|43805|-81.9688|40.3983|71|Television floor manager|1976-12-25|jason.serrano@gmail.com|234.853.5876|adults_2550_male_rural.json
7b89296c-6dcb-4c50-8857-7eb1924770d3|143-78-5818|Jason|Serrano|M|2452 Tate Garden Suite 960|Blissfield|OH|43805|-81.9688|40.3983|71|Television floor manager|1976-12-25|jason.serrano@gmail.com|234.853.5876|adults_2550_male_rural.json
66b072b9-e5e2-40be-b621-03b4ac9e9032|052-45-1520|Ashley|Gibson|F|76875 Hurst Square Suite 658|Yellow Spring|WV|26865|-78.6594|39.3141|248|Scientist, research (medical)|2001-03-04|ashley.gibson@gmail.com|001-359-039-9701x4634|young_adults_female_rural.json
66b072b9-e5e2-40be-b621-03b4ac9e9032|052-45-1520|Ashley|Gibson|F|76875 Hurst Square Suite 658|Yellow Spring|WV|26865|-78.6594|39.3141|248|Scientist, research (medical)|2001-03-04|ashley.gibson@gmail.com|001-359-039-9701x4634|young_adults_female_rural.json
b8d9e5ea-cd14-40eb-9df4-e921b847f03e|625-48-4626|Cody|Jackson|M|039 Stephanie Fields|Kensington|CT|06037|-72.77|41.6029|18565|Teacher, early years/pre|1971-08-10|cody.jackson@hotmail.com|906.359.3895x090|adults_50up_male_urban.json
77ddb456-f69b-4ae6-8099-bc4ccf108ed3|655-40-4751|Matthew|Snow|M|979 Amanda Bridge Apt. 631|Welda|KS|66091|-95.3096|38.1686|352|Sales professional, IT|1988-02-26|matthew.snow@hotmail.com|001-719-693-4513x98801|adults_2550_male_rural.json
77ddb456-f69b-4ae6-8099-bc4ccf108ed3|655-40-4751|Matthew|Snow|M|979 Amanda Bridge Apt. 631|Welda|KS|66091|-95.3096|38.1686|352|Sales professional, IT|1988-02-26|matthew.snow@hotmail.com|001-719-693-4513x98801|adults_2550_male_rural.json
eee230a7-a29c-4ee2-8279-493993672832|882-89-6864|Shannon|Brooks|F|4772 Anthony Rest|Dammeron Valley|UT|84783|-113.6586|37.2849|805|Designer, exhibition/display|1971-02-18|shannon.brooks@yahoo.com|+1-258-720-7962x74378|adults_50up_female_rural.json
eee230a7-a29c-4ee2-8279-493993672832|882-89-6864|Shannon|Brooks|F|4772 Anthony Rest|Dammeron Valley|UT|84783|-113.6586|37.2849|805|Designer, exhibition/display|1971-02-18|shannon.brooks@yahoo.com|+1-258-720-7962x74378|adults_50up_female_rural.json
96cd38a3-4c91-4962-957e-8b563f75f88b|474-21-1204|Joseph|Blevins|M|716 Karen Vista Suite 360|Swanton|NE|68445|-97.0806|40.3844|152|Producer, radio|1987-11-19|joseph.blevins@yahoo.com|+1-976-482-7237x7976|adults_2550_male_rural.json
32f86bf3-49de-4ff8-925c-e443c1d59550|399-32-3320|Samuel|Henry|M|471 John Rue|Turner|ME|04282|-70.2494|44.2557|5734|Ecologist|1982-07-19|samuel.henry@gmail.com|683.636.6335x723|adults_2550_male_urban.json
71166ec4-0ea1-4477-a2d4-2f62dde2a319|742-43-5846|Stephen|Thornton|M|581 Sims Island Suite 662|Clinton|OK|73601|-98.9795|35.5115|10299|Haematologist|1956-05-17|stephen.thornton@gmail.com|(892)075-6425|adults_50up_male_urban.json
71166ec4-0ea1-4477-a2d4-2f62dde2a319|742-43-5846|Stephen|Thornton|M|581 Sims Island Suite 662|Clinton|OK|73601|-98.9795|35.5115|10299|Haematologist|1956-05-17|stephen.thornton@gmail.com|(892)075-6425|adults_50up_male_urban.json
3170f481-92e4-49c7-97b5-6be929780a77|302-66-2918|Kevin|Hernandez|M|406 Douglas Shoal Apt. 766|Haworth|OK|74740|-94.633|33.785|2288|Translator|1978-09-28|kevin.hernandez@hotmail.com|+1-009-246-3989x7635|adults_2550_male_rural.json
00248421-8ab1-446d-8e60-209b03fd60ac|679-60-5089|Carolyn|Cooper|F|53504 Tammy Haven Apt. 502|Arctic Village|AK|99722|-151.0251|65.2264|152|Teacher, secondary school|2002-12-14|carolyn.cooper@gmail.com|358-094-8686x975|young_adults_female_rural.json
00248421-8ab1-446d-8e60-209b03fd60ac|679-60-5089|Carolyn|Cooper|F|53504 Tammy Haven Apt. 502|Arctic Village|AK|99722|-151.0251|65.2264|152|Teacher, secondary school|2002-12-14|carolyn.cooper@gmail.com|358-094-8686x975|young_adults_female_rural.json
c199ece5-52f6-49a8-883c-44aea8e1eb72|099-34-0816|Jennifer|Frazier|F|83431 Lisa Centers|Spencerville|IN|46788|-84.9398|41.2696|3260|Personnel officer|1941-06-09|jennifer.frazier@yahoo.com|+1-801-264-0365x4798|adults_50up_female_urban.json
a644e379-2c40-4213-8ecc-4ea719b77f38|614-75-3443|Curtis|Lynn|M|84538 Stephanie Flats Suite 798|Saint Charles|AR|72140|-91.1463|34.3878|305|Hydrographic surveyor|1964-08-22|curtis.lynn@hotmail.com|050.484.1966x461|adults_50up_male_rural.json
e5a06364-2871-432c-924f-96a27ffcbe47|344-97-3500|Tammy|Jensen|F|77552 Andre Pines|Aurora|CO|80017|-104.7881|39.6948|389246|Quantity surveyor|1953-12-13|tammy.jensen@hotmail.com|642-264-0959x785|adults_50up_female_urban.json
ed6a591a-47f1-47fa-803e-b6a213d9a3d6|664-70-7743|Joseph|Weeks|M|39006 Duncan Harbor|Woodleaf|NC|27054|-80.6051|35.7901|2567|Proofreader|1973-03-16|joseph.weeks@hotmail.com|+1-859-182-5777x66973|adults_2550_male_urban.json
6142799a-f048-4d78-b428-16a6c74e1b1f|892-33-2537|Eric|Russell|M|0611 Richard Meadows|Clinton|OK|73601|-98.9795|35.5115|10299|Sports development officer|1992-05-19|eric.russell@gmail.com|(606)827-2579|adults_2550_male_urban.json
02946815-cc82-4830-afb1-a4bff101e12c|481-69-9329|Austin|Butler|M|882 Laura Ramp|Kennesaw|GA|30152|-84.6544|33.9951|92645|Doctor, hospital|1975-04-10|austin.butler@hotmail.com|(929)617-5419|adults_2550_male_urban.json
02946815-cc82-4830-afb1-a4bff101e12c|481-69-9329|Austin|Butler|M|882 Laura Ramp|Kennesaw|GA|30152|-84.6544|33.9951|92645|Doctor, hospital|1975-04-10|austin.butler@hotmail.com|(929)617-5419|adults_2550_male_urban.json
33ec7a7d-7be0-453a-bb96-84ef9e8272ee|280-60-4783|Derek|Johnson|M|0992 Scott Shoal Apt. 440|Lacrosse|WA|99143|-117.7703|46.7717|650|Surveyor, commercial/residential|1948-01-03|derek.johnson@hotmail.com|816.596.4510x678|adults_50up_male_rural.json
f0692e69-c1fe-4a10-974b-51570f9f0c74|371-74-6909|Kimberly|Mann|F|82553 Goodman Ville Suite 192|Buhl|ID|83316|-114.7825|42.6008|9626|Local government officer|1994-05-15|kimberly.mann@hotmail.com|001-947-640-6469x5919|adults_2550_female_urban.json
c8d15e80-b20e-42e3-8c68-e8a1dd90b8b2|838-18-0119|Cynthia|Silva|F|580 Kristy Rapids Apt. 152|Minneapolis|MN|55427|-93.391|45|1022298|Fashion designer|1974-07-27|cynthia.silva@hotmail.com|601.045.8801x856|adults_2550_female_urban.json
e0f859e7-75e8-4996-8f4e-2c83824b221d|163-93-0836|Cindy|Quinn|F|436 Ruiz Run|Allenhurst|NJ|07711|-74.0067|40.2367|1533|Jewellery designer|1979-07-08|cindy.quinn@gmail.com|550.093.1089x3674|adults_2550_female_rural.json
e0f859e7-75e8-4996-8f4e-2c83824b221d|163-93-0836|Cindy|Quinn|F|436 Ruiz Run|Allenhurst|NJ|07711|-74.0067|40.2367|1533|Jewellery designer|1979-07-08|cindy.quinn@gmail.com|550.093.1089x3674|adults_2550_female_rural.json
a65ccef9-8ec5-4bb5-b6c0-5515bdfa9a36|830-50-0988|Adam|Wood|M|29342 Garcia Roads|Benwood|WV|26031|-80.7226|40.0085|1755|Market researcher|1981-06-27|adam.wood@gmail.com|+1-755-931-7779|adults_2550_male_rural.json
0c807033-f3b1-44d0-be2f-b00de8a53eb6|156-35-5034|Ashley|Hahn|F|747 Diaz Well Apt. 610|North Las Vegas|NV|89084|-115.1482|36.2815|214518|Fast food restaurant manager|1989-08-02|ashley.hahn@hotmail.com|149-491-3132x615|adults_2550_female_urban.json
31d2eab5-a01c-4130-b0d8-f9c2faf07dd1|376-15-2207|Diane|Walton|F|9722 Joshua Orchard Apt. 266|Franklin|TN|37064|-86.8788|35.9328|90669|Financial planner|1931-03-21|diane.walton@gmail.com|824-138-2780|adults_50up_female_urban.json
87b5fa90-ef8b-43fe-a5db-15572ad5e98f|514-27-5390|Heidi|Morris|F|117 Joseph Greens Suite 893|Montezuma|IA|50171|-92.5276|41.5928|2923|Press photographer|1953-06-26|heidi.morris@hotmail.com|001-501-225-8285x263|adults_50up_female_urban.json
d6c4d3af-6be1-40ca-ad5d-6de152efbed3|585-44-6240|Brandy|Russo|F|621 Jones Fall|Redby|MN|56670|-94.9404|47.8689|1440|Engineer, automotive|1995-02-27|brandy.russo@gmail.com|107.909.7877|adults_2550_female_rural.json
d6c4d3af-6be1-40ca-ad5d-6de152efbed3|585-44-6240|Brandy|Russo|F|621 Jones Fall|Redby|MN|56670|-94.9404|47.8689|1440|Engineer, automotive|1995-02-27|brandy.russo@gmail.com|107.909.7877|adults_2550_female_rural.json
d9dadbca-47e0-4ee5-b0d8-522e4c432605|527-08-1068|Shelly|Owens|F|6161 Colleen Hills|Valley Stream|NY|11581|-73.7118|40.6523|60957|Freight forwarder|1997-11-20|shelly.owens@yahoo.com|001-987-867-4627x26396|adults_2550_female_urban.json
41fd1812-3e32-4d8f-9935-4146ab0800bb|860-13-5534|Amber|Hernandez|F|3429 Catherine Roads Apt. 139|Easton|PA|18045|-75.2865|40.6957|83703|Research scientist (maths)|1991-01-09|amber.hernandez@gmail.com|(547)376-7699x6393|adults_2550_female_urban.json
518175bb-d257-4690-b75d-91a821900add|093-97-2108|Sharon|Davis|F|02874 Mccall Point Apt. 591|Ellenburg Depot|NY|12935|-73.7876|44.9163|1748|Nature conservation officer|1962-03-15|sharon.davis@yahoo.com|(916)168-1160|adults_50up_female_rural.json
